Symbol;Interval;S.Pos;LOT(s);Open Time;Open Price;Close Time;Close Price;PIP P/L;Tot. $ P/L;Harvester ID;OpenDeals#;Closed by
EURJPY;14.6 {T 205/105/2/1} [--/100];Short;14.Bir;2017.03.31 22:47;118.7900;2017.03.31 22:58;118.7800;1;13.1108;67(55) TR;5;All related deals after TR
EURJPY;14.6 {T 205/105/2/1} [--/100];Short;14.Bir;2017.03.31 22:47;118.7900;2017.03.31 22:58;118.7800;1;13.1108;67(55) TR;5;All related deals after TR
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.02.28 20:26;118.7900;2017.03.31 22:58;118.7800;1;8.9800;67(55);5;All related deals after TR
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.03.30 08:15;119.5200;2017.03.30 23:32;119.5200;0;0.0000;65(162);3;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.03.30 10:03;119.4200;2017.03.30 22:38;119.4200;0;0.0000;63(422);1;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.03.24 20:48;119.7500;2017.03.29 17:47;119.5000;25;225.0000;66(123);4;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.03.23 21:13;119.6900;2017.03.29 17:41;119.4500;24;216.2400;65(161);3;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.03.23 14:45;119.4900;2017.03.29 15:29;119.3500;14;126.1400;63(419);1;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.03.23 10:06;119.9700;2017.03.23 16:42;119.8200;15;135.0000;66(122);4;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Long;10;2017.03.17 03:14;122.1700;2017.03.23 15:11;119.3900;-278;-2510.3400;62(51);5;Harvester Stopp & close open deals
EURJPY;15.8 {T 205/105/2/1} [--/100];Short;15.Rgp;2017.03.17 17:02;121.1700;2017.03.23 15:11;119.3900;178;2539.5972;62(51) TR;5;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.03.23 09:18;120.0600;2017.03.23 13:01;119.8900;17;153.0000;65(160);3;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.02.08 19:37;119.5200;2017.03.23 12:24;119.5200;0;0.0000;63(418);1;Harvester Stopp & close open deals
EURJPY;14.6 {T 205/105/2/1} [--/100];Short;14.Bir;2017.02.22 08:43;119.5200;2017.03.23 12:24;119.5200;0;0.0000;63(418) TR;1;Harvester Stopp & close open deals
EURJPY;15.8 {T 205/105/2/1} [--/100];Short;15.Rgp;2017.03.15 20:00;121.3900;2017.03.23 11:51;119.5700;182;2590.9156;61(107) TR;4;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Long;10;2017.03.14 06:51;122.4100;2017.03.23 11:51;119.5700;-284;-2558.8400;61(107);4;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.02.08 10:02;119.6800;2017.03.23 10:56;119.6500;3;27.0000;64(255);2;Harvester Stopp & close open deals
EURJPY;14.6 {T 205/105/2/1} [--/100];Short;14.Bir;2017.02.20 00:01;119.6600;2017.03.23 10:56;119.6500;1;13.1400;64(255) TR;2;Harvester Stopp & close open deals
EURJPY;14.6 {T 205/105/2/1} [--/100];Short;14.Bir;2017.02.17 18:20;119.8200;2017.03.22 11:25;119.8200;0;0.0000;65(159) TR;3;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.02.09 04:38;119.8200;2017.03.22 11:25;119.8200;0;0.0000;65(159);3;Harvester Stopp & close open deals
EURJPY;15.8 {T 205/105/2/1} [--/100];Long;15.Rgp;2017.02.09 17:21;120.5200;2017.03.14 20:49;121.6900;117;1610.1306;63(418) TR;1;Trailing Stop filled
EURJPY;15.8 {T 205/105/2/1} [--/100];Long;15.Rgp;2017.02.09 17:26;120.6800;2017.03.14 19:09;121.7600;108;1487.9808;64(255) TR;2;Trailing Stop filled
EURJPY;15.8 {T 205/105/2/1} [--/100];Long;15.Rgp;2017.02.10 01:10;120.8200;2017.03.14 16:23;121.8300;101;1391.5376;65(159) TR;3;Trailing Stop filled
EURJPY;14.6 {T 205/105/2/1} [--/100];Long;14.Bir;2016.12.28 04:16;123.2600;2017.03.10 10:06;122.3700;-89;-1125.2804;61(106) TR;4;Close all Deals(2)
EURJPY;10/5 {T 205/55/10/5} [--/100];Long;10;2016.12.16 02:06;123.2600;2017.03.10 10:06;122.3700;-89;-770.7400;61(106);4;Close all Deals(2)
EURJPY;10/5 {T 205/55/10/5} [--/100];Long;10;2017.03.08 16:02;121.0000;2017.03.09 18:17;121.3600;36;313.2000;62(50);5;Harvester Stopp & close open deals
EURJPY;15.8 {T 205/105/2/1} [--/100];Long;15.Rgp;2017.03.01 05:40;119.7900;2017.03.01 05:40;119.7600;-3;-41.8068;67(55) TR;5;Opposite direction deal
EURJPY;15.8 {T 205/105/2/1} [--/100];Short;15.Rgp;2016.12.05 00:00;120.2800;2017.03.01 05:40;119.7900;49;682.8444;59(263) TR;2;Opposite direction deal
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.02.23 11:11;119.4000;2017.02.27 09:43;118.7200;68;605.8800;66(121);4;Harvester Stopp & close open deals
EURJPY;14.6 {T 205/105/2/1} [--/100];Short;14.Bir;2017.02.06 13:08;120.7800;2017.02.22 11:36;118.9200;186;2397.8748;66(120) TR;4;All related deals after TR
EURJPY;15.8 {T 205/105/2/1} [--/100];Long;15.Rgp;2017.01.18 23:07;121.7800;2017.02.22 11:36;118.9200;-286;-3990.1004;66(120) TR;4;All related deals after TR
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.01.17 19:12;120.7800;2017.02.22 11:36;118.9200;186;1642.3800;66(120);4;All related deals after TR
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.02.14 00:04;120.4600;2017.02.17 18:20;119.8500;61;540.4600;67(54);5;Close all Deals(2)
EURJPY;15.8 {T 205/105/2/1} [--/100];Short;15.Rgp;2016.12.19 13:26;122.3200;2017.02.10 01:10;120.8500;147;2048.5332;60(168) TR;3;Trailing Stop filled
EURJPY;15.8 {T 205/105/2/1} [--/100];Short;15.Rgp;2016.12.19 13:26;122.3200;2017.02.10 01:10;120.8500;147;2048.5332;58(464) TR;1;Trailing Stop filled
EURJPY;15.8 {T 205/105/2/1} [--/100];Short;15.Rgp;2016.12.19 14:49;122.2800;2017.02.10 01:10;120.8300;145;2020.6620;59(266) TR;2;Trailing Stop filled
EURJPY;15.8 {T 205/105/2/1} [--/100];Short;15.Rgp;2016.12.19 14:59;122.2600;2017.02.10 01:10;120.8200;144;2006.7264;61(106) TR;4;Trailing Stop filled
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.02.07 19:22;119.7900;2017.02.08 18:01;119.7700;2;17.8800;65(158);3;Harvester Stopp & close open deals
EURJPY;10/5 {T 205/55/10/5} [--/100];Short;10;2017.02.07 08:06;119.7000;2017.02.08 16:23;119.6700;3;26.7900;63(417);1;Harvester Stopp & close open deals
EURJPY;14.6 {T 205/105/2/1} [--/100];Short;14.Bir;2017.01.11 20:08;121.6000;2017.02.07 08:06;119.7300;187;2440.7988;65(157) TR;3;All related deals after TR
